dataset,instance,seed,checkpoint_s,score_at_checkpoint,progress_to_final_improvement
synthetic,input/synthetic/synthetic_20.txt,89,120,29691011.0,0.8455690187693039
synthetic,input/synthetic/synthetic_20.txt,89,300,29694058.0,0.9489868648813766
synthetic,input/synthetic/synthetic_20.txt,89,600,29695561.0,1.0
seed_based,input/seed_based/ce_060x_012t.txt,45,0,12973556.0,0.0
seed_based,input/seed_based/ce_060x_012t.txt,45,30,13010144.0,0.9062716734370355
seed_based,input/seed_based/ce_060x_012t.txt,45,60,13010778.0,0.9219756266719509
seed_based,input/seed_based/ce_060x_012t.txt,45,120,13012275.0,0.959055781234519
seed_based,input/seed_based/ce_060x_012t.txt,45,300,13013404.0,0.9870207074209848
seed_based,input/seed_based/ce_060x_012t.txt,45,600,13013928.0,1.0
seed_based,input/seed_based/ce_060x_012t.txt,56,0,12973556.0,0.0
seed_based,input/seed_based/ce_060x_012t.txt,56,30,13009832.0,0.8905363937645759
seed_based,input/seed_based/ce_060x_012t.txt,56,60,13012671.0,0.9602307597888794
seed_based,input/seed_based/ce_060x_012t.txt,56,120,13013178.0,0.9726770590401375
seed_based,input/seed_based/ce_060x_012t.txt,56,300,13014223.0,0.9983306738676814
seed_based,input/seed_based/ce_060x_012t.txt,56,600,13014291.0,1.0
seed_based,input/seed_based/ce_060x_012t.txt,67,0,12973556.0,0.0
seed_based,input/seed_based/ce_060x_012t.txt,67,30,13010439.0,0.908068050323756
seed_based,input/seed_based/ce_060x_012t.txt,67,60,13011008.0,0.9220769628480685
seed_based,input/seed_based/ce_060x_012t.txt,67,120,13011846.0,0.9427087180244725
seed_based,input/seed_based/ce_060x_012t.txt,67,300,13012646.0,0.9624049043503952
seed_based,input/seed_based/ce_060x_012t.txt,67,600,13014173.0,1.0
seed_based,input/seed_based/ce_060x_012t.txt,78,0,12973556.0,0.0
seed_based,input/seed_based/ce_060x_012t.txt,78,30,13010782.0,0.9123348773374507
seed_based,input/seed_based/ce_060x_012t.txt,78,60,13012481.0,0.9539739725020219
seed_based,input/seed_based/ce_060x_012t.txt,78,120,13013369.0,0.975737078156018
seed_based,input/seed_based/ce_060x_012t.txt,78,300,13014097.0,0.9935789035119966
